IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
27.10.232.26,18-01-22 06:40,0.224,重庆,HTTP,8118
27.40.158.47,18-01-22 06:36,0.636,广东湛江,HTTPS,61234
113.2.55.144,18-01-22 06:35,1.185,黑龙江齐齐哈尔,HTTPS,80
49.85.12.13,18-01-22 06:33,1.108,江苏泰州,HTTPS,17317
27.40.135.98,18-01-22 06:25,0.253,广东湛江,HTTP,61234
116.231.63.104,18-01-22 06:24,0.41,上海,HTTPS,8118
180.115.5.227,18-01-21 21:22,0.203,江苏常州,HTTPS,28895
123.163.225.213,18-01-21 21:11,0.227,河南,HTTPS,808
111.164.161.29,18-01-21 21:05,0.046,天津,HTTPS,8888
39.85.94.249,18-01-21 20:55,1.076,山东,HTTP,8118
110.73.34.160,18-01-21 20:54,3.423,广西防城港,HTTP,8123
121.31.100.123,18-01-21 20:45,5.729,广西防城港,HTTP,8123
223.241.118.191,18-01-22 06:22,5.717,安徽,HTTPS,8010
125.78.105.145,18-01-22 06:22,0.178,福建泉州,HTTPS,48675
223.241.78.69,18-01-22 06:22,2.911,安徽芜湖,HTTPS,8010
58.209.56.134,18-01-21 20:44,0.155,江苏苏州,HTTPS,8118
110.72.46.1,18-01-21 20:31,3.909,广西贵港,HTTP,8123
122.241.7.89,18-01-21 20:22,1.022,浙江丽水,HTTPS,43024
123.163.165.241,18-01-21 20:16,1.105,河南三门峡,HTTP,45398
183.148.91.187,18-01-21 20:15,7.166,浙江台州,HTTP,33678
183.148.88.26,18-01-21 20:11,0.553,浙江台州,HTTPS,20303
223.241.79.238,18-01-21 20:11,5.763,安徽芜湖,HTTPS,8010
27.213.107.44,18-01-22 06:13,0.087,山东烟台,HTTPS,8118
114.243.67.243,18-01-22 06:13,0.136,北京,HTTP,8118
49.77.210.188,18-01-22 06:11,1.911,江苏,HTTPS,20934
106.112.168.39,18-01-22 06:03,0.284,河北,HTTPS,808
60.213.115.138,18-01-22 06:00,4.108,山东临沂,HTTPS,8118
123.163.129.232,18-01-22 06:00,1.445,河南三门峡,HTTPS,808
49.72.35.78,18-01-21 20:11,2.079,江苏苏州,HTTPS,25457
171.39.1.190,18-01-21 20:00,5.819,广西百色,HTTPS,8123
223.241.118.103,18-01-21 20:00,5.201,安徽,HTTP,8010
117.95.199.70,18-01-21 19:55,0.55,江苏宿迁,HTTPS,20847
59.53.147.170,18-01-22 05:52,1.652,江西南昌,HTTPS,808
175.8.63.91,18-01-22 05:50,0.147,湖南,HTTPS,8118
110.189.207.72,18-01-22 05:45,3.694,四川德阳,HTTPS,38545
123.185.128.246,18-01-22 05:33,0.682,辽宁大连,HTTPS,8118
223.241.118.142,18-01-22 05:33,2.319,安徽,HTTPS,8010
49.73.233.127,18-01-22 05:32,0.143,江苏苏州,HTTPS,8118
124.72.109.183,18-01-22 05:30,5.063,福建泉州,HTTP,8118
59.173.55.5,18-01-22 05:04,0.11,湖北武汉,HTTP,8118
59.53.146.120,18-01-22 05:00,0.214,江西南昌,HTTPS,808
61.154.90.126,18-01-22 04:58,0.38,福建泉州,HTTPS,808
117.36.103.170,18-01-22 04:46,0.11,陕西西安,HTTPS,8118
49.85.7.48,18-01-22 04:33,0.464,江苏泰州,HTTPS,48299
115.58.130.164,18-01-22 04:32,0.389,河南信阳,HTTPS,8118
59.53.144.170,18-01-22 04:24,0.441,江西南昌,HTTP,808
117.86.165.73,18-01-22 04:22,0.156,江苏南通,HTTPS,44534
182.108.5.169,18-01-22 04:21,3.703,江西,HTTPS,808
124.237.130.23,18-01-22 04:06,0.137,河北保定,HTTPS,9999
125.45.114.197,18-01-22 04:05,0.106,河南南阳,HTTPS,8118
223.241.116.195,18-01-22 04:00,5.981,安徽,HTTP,8010
